c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,20,Offworld Trading Company,4/28/2016,$39.99,41% (76%/79%),"$7,938,615","198,515","±13,174","179,990","±12,544",8:53:00,4:37:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,223,Roguelands,6/13/2016,$9.99,61% (85%),"$1,907,770","190,968","±12,921","144,541","±11,242",13:07:00,4:20:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,386,Osiris: New Dawn,9/28/2016,$24.99,43% (77%),"$4,503,673","180,219","±12,552","170,156","±12,197",9:14:00,5:43:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,283,My Summer Car,10/24/2016,$14.99,77% (90%),"$2,293,515","153,003","±11,566","150,259","±11,462",14:35:00,7:00:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,422,Bit Blaster XL,1/22/2016,$0.99,99% (98%),"$143,322","144,770","±11,251","109,778","±9,797",1:50:00,0:49:00
,,,,,,,,,,,,
1,46,The Flame in the Flood,2/24/2016,$14.99,54% (82%/73%),"$2,104,956","140,424","±11,081","71,584","±7,912",4:49:00,1:37:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,458,Half dead,8/1/2016,$1.99,61% (85%),"$262,604","131,962","±10,742","117,554","±10,138",1:27:00,0:55:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,356,HomeBehind,6/2/2016,$5.99,77% (90%),"$727,438","121,442","±10,305","116,639","±10,099",14:15:00,9:21:00
1,71,ADR1FT,3/28/2016,$19.99,18% (60%/64%),"$2,423,048","121,213","±10,295","52,373","±6,768",1:41:00,0:34:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,390,Strayed,5/7/2016,$3.99,N/A (N/A),"$461,739","115,724","±10,059","15,094","±3,633",0:14:00,0:05:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,63,The Solus Project,6/7/2016,$19.99,52% (81%/68%),"$2,048,175","102,460","±9,465","77,531","±8,234",4:56:00,1:20:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,320,We Happy Few,7/26/2016,$29.99,56% (83%),"$2,914,998","97,199","±9,219","90,567","±8,899",5:40:00,3:05:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,204,Fragmented,4/26/2016,$9.99,13% (55%),"$765,394","76,616","±8,185","44,140","±6,213",5:14:00,1:21:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,249,Life is Feudal: Forest Village,8/26/2016,$24.99,32% (71%),"$1,560,276","62,436","±7,389","59,921","±7,239",16:34:00,6:46:00
1,237,35MM,5/27/2016,$8.99,34% (72%),"$551,024","61,293","±7,321","40,481","±5,950",3:04:00,1:45:00
1,279,Jalopy,4/22/2016,$12.99,56% (83%),"$793,221","61,064","±7,308","57,634","±7,099",5:49:00,2:57:00
1,342,Kingdom Wars 2: Battles,3/4/2016,$18.99,30% (70%),"$1,150,927","60,607","±7,280","49,171","±6,557",6:08:00,2:34:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,359,Doorways: Holy Mountains of Flesh,8/10/2016,$19.99,73% (89%),"$1,056,092","52,831","±6,797","35,220","±5,550",3:27:00,3:22:00
1,415,Death Road to Canada,7/21/2016,$14.99,90% (94%),"$785,071","52,373","±6,768","47,799","±6,465",9:28:00,3:51:00
,,,,,,,,,,,,
1,91,Shattered Skies,7/21/2016,$19.99,7% (44%/56%),"$1,033,223","51,687","±6,723","36,821","±5,675",29:25:00,9:06:00
1,29,Crashlands,1/21/2016,$14.99,77% (90%/78%),"$747,371","49,858","±6,603","46,656","±6,388",15:06:00,6:57:00
1,157,Crea,6/9/2016,$14.99,45% (78%),"$733,656","48,943","±6,542","47,571","±6,450",12:40:00,6:23:00
,,,,,,,,,,,,
1,446,INTERSHELTER,11/20/2016,$12.99,34% (72%),"$606,061","46,656","±6,388","32,933","±5,367",5:05:00,3:36:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,332,Gloria Victis,6/9/2016,$19.99,23% (65%),"$873,223","43,683","±6,181","40,709","±5,967",19:29:00,4:59:00
1,167,Space Pirates and Zombies 2,5/17/2016,$19.99,56% (83%),"$864,068","43,225","±6,148","40,481","±5,950",15:58:00,9:47:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,10,Duskers,5/18/2016,$19.99,77% (90%/83%),"$827,486","41,395","±6,017","36,364","±5,639",9:17:00,3:38:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,38,The Final Station,8/30/2016,$14.99,54% (82%/76%),"$582,811","38,880","±5,831","34,077","±5,459",4:51:00,4:17:00
1,43,The Curious Expedition,9/2/2016,$14.99,73% (89%/74%),"$555,380","37,050","±5,692","34,306","±5,477",8:02:00,3:45:00
1,368,Arizona Sunshine,12/6/2016,$39.99,67% (87%),"$1,426,763","35,678","±5,586","34,077","±5,459",7:27:00,3:00:00
1,430,Of Kings And Men,8/25/2016,$24.99,14% (56%),"$885,871","35,449","±5,568","34,534","±5,496",11:26:00,3:34:00
,,,,,,,,,,,,
1,289,Feed and Grow: Fish,1/8/2016,$14.99,39% (75%),"$517,665","34,534","±5,496","33,162","±5,385",14:00:00,4:08:00
,,,,,,,,,,,,
1,98,Dead Effect 2,5/6/2016,$3.59,30% (70%/53%),"$115,767","32,247","±5,310","20,355","±4,219",9:53:00,4:51:00
1,259,Niche - a genetics survival game,9/15/2016,$18.99,87% (93%),"$603,692","31,790","±5,273","29,960","±5,119",12:00:00,7:14:00
1,124,Habitat,1/26/2016,$14.99,13% (55%),"$466,249","31,104","±5,215","26,987","±4,858",2:01:00,0:48:00
1,125,Infectonator : Survivors,8/8/2016,$11.99,29% (69%),"$372,937","31,104","±5,215","28,817","±5,020",6:37:00,2:21:00
,,,,,,,,,,,,
1,234,Better Late Than Dead,3/3/2016,$14.99,5% (39%),"$452,533","30,189","±5,138","18,068","±3,975",0:58:00,0:28:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,276,Sleeping Valley,10/8/2016,$3.99,N/A (N/A),"$106,764","26,758","±4,837","16,924","±3,847",2:57:00,2:56:00
,,,,,,,,,,,,
1,239,Lifeless,6/16/2016,$19.99,10% (51%),"$507,466","25,386","±4,712","5,489","±2,191",4:34:00,0:37:00
,,,,,,,,,,,,
1,365,Subterrain,1/21/2016,$16.99,77% (90%),"$431,308","25,386","±4,712","21,956","±4,382",12:38:00,3:15:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,306,Dead Age,11/4/2016,$14.99,61% (85%),"$356,537","23,785","±4,561","19,897","±4,171",8:46:00,3:22:00
,,,,,,,,,,,,
1,447,Feel The Snow,10/14/2016,$8.99,87% (93%),"$209,719","23,328","±4,517","21,727","±4,359",4:34:00,2:23:00
1,87,Clockwork Empires,10/26/2016,$29.99,21% (63%/58%),"$672,166","22,413","±4,427","21,727","±4,359",14:26:00,6:01:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,81,Into the Stars,3/4/2016,$19.99,10% (51%/61%),"$384,028","19,211","±4,099","16,467","±3,795",2:32:00,1:09:00
1,110,Frozen State,8/5/2016,$11.99,43% (77%),"$227,594","18,982","±4,074","15,323","±3,661",3:55:00,1:06:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,215,Kona,3/10/2016,$9.99,80% (91%),"$185,065","18,525","±4,025","15,552","±3,688",2:57:00,1:57:00
1,194,Search & Kill ☠,10/5/2016,$0.99,6% (43%),"$17,887","18,068","±3,975","12,579","±3,317",2:48:00,1:50:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,445,Force of Nature,12/13/2016,$7.99,52% (81%),"$138,882","17,382","±3,899","16,467","±3,795",9:01:00,4:20:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,316,Planet Centauri,6/3/2016,$14.99,56% (83%),"$250,258","16,695","±3,821","16,009","±3,742",7:59:00,5:10:00
1,401,CHKN,4/1/2016,$14.99,52% (81%),"$250,258","16,695","±3,821","16,467","±3,795",6:27:00,2:26:00
1,301,On My Own,2/26/2016,$7.99,30% (70%),"$129,742","16,238","±3,768","4,117","±1,897",2:07:00,0:36:00
,,,,,,,,,,,,
